"site_no","RB","years","start_date","end_date","perc_missing","agency_cd","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","class"
"15283700",0.0946049249056719,9.95068493150685,2010-01-01,2019-12-16,0.00137475941710197,"USGS","MOOSE C NR PALMER AK","ST",614103.8,1490308.7,61.68438889,-149.0524167,"G","1","NAD83","NAD83","02","02","170","US","SWNENWS02 T018N R002E S","ANCH C-6NE","  25000",403,"F",0.1,"NAVD88","19020402",NA,NA,"YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20130606,48.4,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15284000",0.0820128063306517,9.92602739726027,2010-01-01,2019-12-10,0.00220324979344533,"USGS","MATANUSKA R AT PALMER AK","ST",613633,1490415,61.6086312,-149.0730432,"M","T","NAD27","NAD83","02","02","170","US","  SENWS34 T018N R002E S","ANCHORAGE C-6","  63360",185.2,"F",0.1,"NAVD88","19020402",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2060,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15285000",0.13511212152101,3.4986301369863,2010-01-01,2013-06-30,0,"USGS","WASILLA C NR PALMER AK","ST",613837,1491146,61.64307278,-149.1983305,"M","R","NAD27","NAD83","02","02","170","US","  SESWS13 T018N R001E S","ANCHORAGE C-6","  63360",475,"M",25,"NGVD29","19020401",NA,NA,"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,18.9,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15291700",0.0862305800172504,5.01917808219178,2011-10-01,2016-10-05,0,"USGS","SUSITNA R AB TSUSENA C NR CHULITNA AK","ST",624924,1483617,62.8233333,-148.6047222,"M","S","NAD83","NAD83","02","02","170","US","SWNWNWS31 T032N R005E S","TALKEETNA MTNS D-4","  63360",1500,"M",50,"NGVD29","19020501",NA,"C","YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20111006,5160,NA,"AKST","Y",NA," Y",NA,NA,NA,NA,NA,NA,NA,"Low"
"15292000",0.0712095261592032,9.86301369863014,2010-01-01,2019-11-09,0,"USGS","SUSITNA R AT GOLD CREEK AK","ST",624604,1494128,62.7672899,-149.6933794,"M","T","NAD27","NAD83","02","02","170","US","SWNENWS20 T031N R002W S","TALKEETNA MTNS D-6","  63360",682.14,"L",0.01,"NAVD88","19020501",NA,NA,"YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,6130,NA,"AKST","Y",NA,"NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15292700",0.085775866266287,10.0054794520548,2010-01-01,2019-12-31,0,"USGS","TALKEETNA R NR TALKEETNA AK","ST",622049,1500101,62.3464388,-150.019201,"M","T","NAD27","NAD83","02","02","170","US","NWSENES16 T026N R004W S","TALKEETNA B-1","  63360",400,"M",25,"NGVD29","19020503",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,2010,NA,"AKST","Y",NA,"NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15292800",0.145933769880372,8.33698630136986,2010-01-01,2018-10-29,0.0561414392059554,"USGS","MONTANA C NR MONTANA AK","ST",620619,1500327,62.1047619,-150.0597486,"M","S","NAD27","NAD83","02","02","170","US","  NWNWS08 T023N R004W S","TALKEETNA A-1","  63360",241.1,"F",0.1,"NAVD88","19020505",NA,NA,"YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN",NA,20131001,164.12,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15293200",0.0918479236654278,7.09041095890411,2011-10-01,2018-10-31,0,"USGS","KASHWITNA R NR WILLOW AK","ST",615526,1500417,61.92388889,-150.0713889,"N","5","NAD83","NAD83","02","02","170","US","SESWNES07 T021N R004W S","TYONEK D-1NE","  25000",185.67,"F",0.1,"NAVD88","19020505",NA,"C","YNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,354,NA,"AKST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15293700",0.108252105187988,5.16164383561644,2013-05-22,2018-07-19,0.00053050397877985,"USGS","L WILLOW C NR KASHWITNA AK","ST",614837,1500542,61.80974586,-150.0972379,"M","S","NAD27","NAD83","02","02","170","US","SESWNES24 T020N R004W S","TYONEK D-1","  63360",130.4,"F",0.1,"NAVD88","19020505",NA,"C","YNNNYNYNNNNNNNNNNNNNNNNNNNNNNN",NA,20130101,153,NA,"AKST","Y","C","NNNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
"15294005",0.122586050046195,10.0027397260274,2010-01-01,2019-12-31,0.000273822562979142,"USGS","WILLOW C NR WILLOW AK","ST",614651,1495304,61.78030346,-149.8866786,"M","T","NAD27","NAD83","02","02","170","US","  NWSES31 T020N R003W S","ANCHORAGE D-8","  63360",384.6,"F",0.1,"NAVD88","19020505",NA,NA,"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN",NA,NA,167,NA,"AKST","Y","C","NYNNNNNN",NA,NA,NA,NA,NA,NA,NA,"Low"
